code,instructor,schedule,description,credits,semesters,prerequisites,prerequisite_text
MATH 1200,Staff,TBA,"Fall, Spring, Summer. Polynomials, factoring, rational exponents, linear and quadratic equations and inequalities, applications; polynomial, exponential and logarithmic functions and their graphs, systems of equations, theory of equations. Not to be taken if credit for MATH 1280 has been received. No more than 6 credit hours in MATH 1200, MATH 1210, and MATH 1220 may be counted toward graduation.",5,,,"Two years of high school algebra, one year of geometry and a satisfactory placement exam score. or grade of C or higher in MATH 95."
MATH 1220,Ju Bae,"(class length) 50 minutes, 1 hour 20 minutes","Review of functions and their graphs, linear and quadratic functions, factoring. Polynomial and rational functions. Review of exponents. Exponential and logarithmic functions and their graphs. Systems of equations, theory of equations. Course meets for 5 hours per week. Not open to students with a grade of C or higher in MATH 1200 or MATH 1280. Math Emporium Course Fee.",4,Fall 2025|Spring 2025|Fall 2024|Spring 2024|Fall 2023,math1200|math1280|math1220|se4550,
MATH 1280,Michelle Heckman,"MTuWTh (1 hour 15 minutes), MTuWThF (50 minutes)",Basic algebra; inequalities; functions and graphs; logarithmic and exponential functions; trigonometric functions and identities; applications and other topics. Not to be taken if credit for MATH 1290 has been received.,5,Fall 2025|Spring 2025|Fall 2024|Spring 2024|Fall 2023,math1200|math1220,"(s): Two years of high school algebra and one of geometry AND a satisfactory placement exam score, or grade of C or higher in MATH 1200 or MATH 1220."
MATH 1290,Staff,TBA,"Trigonometric functions, graphs, identities, equations, inverse functions, solution of triangles, complex numbers. Intended for students who have good preparation in algebra and geometry but lack knowledge of trigonometry. Not to be taken if credit for MATH 1280 has been received.",2,Fall|Spring,math1200|math1220,C or higher in MATH 1200 or MATH 1220 or consent of instructor.
MATH 1310,Daria Filippova,"MTuWTh (1 hour 15 minutes), MTuWThF (50 minutes)",Differential and integral calculus including applications. The MATH 1310-2320-2330 sequence is a traditional calculus course for well-prepared students and is prerequisite for all advanced mathematics and statistics courses.,5,Fall 2025|Spring 2025|Fall 2024|Spring 2024|Fall 2023,math1280|math1290,"for all advanced mathematics and statistics courses. Prerequisites: (1) two years of high school algebra, one year of geometry, one-half year of trigonometry, ACT math score of 24 or higher and satisfactory score on department placement test; or (2) grade of C or higher in MATH 1280 or MATH 1290."
MATH 1340,Toheeb Ibrahim,"MWF (50 minutes), TuTh (1 hour 15 minutes)","Limits, the derivative, differentiation techniques and applications of the derivative. MATH 1340 and MATH 1350 is a two-semester sequence which includes all the topics from MATH 1310. Not open to students with a grade of C or higher in MATH 1310.",3,Fall 2025|Spring 2025|Fall 2024|Spring 2024|Fall 2023,math1280|math1290,"For all advanced mathematics and statistics courses. Prerequisites: (1) two years of high school algebra, one year of geometry, one-half year of trigonometry, ACT math score of 24 or higher and satisfactory score on department placement test; or (2) grade of C or higher in MATH 1280 or MATH 1290."
MATH 1350,Daria Filippova,"MWF (50 minutes), TuTh (1 hour 15 minutes)","Fall, Spring, Summer. The definite integral; the fundamental theorem; indefinite integrals; integration by parts, by substitution and using tables; and applications of definite and indefinite integrals.",3,Fall 2025|Spring 2025|Fall 2024|Spring 2024|Fall 2023,math1340,grade of C or higher in MATH 1340.
MATH 2220,David Meel,"MWF (10:30am-11:20am), MWF (1:30pm-2:20pm), MW (4:30pm-5:45pm)","Fall, Spring, Summer. Logic, methods of proof, introduction to set theory, relations, functions, algorithms, counting techniques, graph theory, and trees.",3,Fall 2025|Spring 2025|Fall 2024|Spring 2024|Fall 2023,math1280|math1310|math1340|math1350|ba1700,"s: C or better in MATH 1280, MATH 1310, MATH 1340, MATH 1350 OR BA 1700. Approved for distance education."
MATH 2470,John Chen,"MWF (50 minutes), TuTh (1 hour 15 minutes)","Fall, Spring. Descriptive statistics. Discrete probability models, sampling distributions, statistical estimation, and testing.",3,Fall 2025|Spring 2025|Fall 2024|Spring 2024|Fall 2023,math1310|math1350,"C or better in MATH 1310, MATH 1350 or BA 1700. Credit not given for both MATH 2470 and STAT 2110."
MATH 3410,Sandra Zirkes,"MWF (50 minutes), TuTh (1 hour 15 minutes)","Fall, Spring. Summary and display of data; basic probability concepts; discrete distributions; continuous distributions; computer-aided probabilistic and statistical modelling of real problems; estimation; tests of statistical hypotheses. Not open to students who have credit for MATH 4410.",3,Fall 2025|Spring 2025|Fall 2024|Spring 2024|Fall 2023,math2320,C or better in MATH 2320 or consent of instructor.
BA 2110,Yuhang Xu,"(Class Length) 1 hour 15 minutes, 50 minutes","Elementary probability, random variables, probability distributions, sampling, descriptive statistics, sampling distributions, estimation, hypothesis testing.",3,Spring 2024|Fall 2023|Spring 2023|Fall 2022,,Credit not given for both BA 2110 and MATH 2470. Approved for distance education.
BA 1600,Diane Conway,"MWF (50 minutes), TuTh (1 hour 15 minutes)","Algebra skills (polynomial and rational expressions, equations, factoring, exponents and radicals, linear functions, nonlinear functions), limits, derivatives, extrema, optimization, Fundamental Theorem of Calculus.",3,Fall 2025|Spring 2025|Fall 2024|Spring 2024|Fall 2023,math1220|math1280,"(s): Schmidthorst College of Business student or DSP-B or C or better in MATH 1220, MATH 1280 or math placement of 32"
BA 2050,Pei Wang,"(Class Length) 50 minutes, 1 hour 15 minutes","In this course, learners will explore data from the ground up. Specifically, learners will explore data from creation to gathering to wrangling to visualizing to tell the story of data. Throughout the process, learners will develop critical data literacy skills and become acquainted with logic skills through business case studies.",4,Fall 2025|Spring 2025|Fall 2024,ba1600|math1310|math1340|math1350,(s): C or better in BA 1600 or MATH 1310 or both MATH 1340 & MATH 1350.
BA 2120,Shuchismita Sarkar,"(Class Length) 1 hour 15 minutes, 50 minutes","This course focuses on how to interpret and utilize data for informed decision-making. Topics include statistical fundamentals, probability, hypothesis testing, and regression analysis tailored for business applications. Learners will acquire the skills to transform data into valuable insights, drive strategic choices, and optimize outcomes in a dynamic business landscape.",3,Fall 2025|Spring 2025|Fall 2024|Spring 2024|Fall 2023,ba2050|bizx2200,(s): C or better in BA 2050 or equivalent. Corequisite(s): BIZX 2200 or equivalent
BIZX 2200,Jennifer Price,M (1 hour 50 minutes),Experiential learning with a focus on technological application and integration of 2000-level business knowledge. Extra fee.,1,Fall 2025|Spring 2025|Fall 2024|Fall 2019,ba2120,(s): Corequisite: BA 2120 or equivalent
MATH 2320,Xiaofen Zhang,"MTuWTh (6:00pm-7:15pm), MTuWThF (8:30am-9:20am), MTuWTh (4:30pm-5:45pm)","Fall, Spring. MATH 1310 continued. Calculus of transcendental functions, techniques of integration, plane analytic geometry, sequences, and series.",5,Fall 2025|Spring 2025|Fall 2024|Spring 2024|Fall 2023,math1310|math1350,grade of C or higher in MATH 1310 or MATH 1350
MATH 3280,Mihai Staic,"TuTh (9:30am-10:45am), MWF (1:30pm-2:20pm), MWF (10:30am-11:20am)","This course is an introduction to mathematical proofs and proof techniques, involving topics such as logic, sets, relations, functions, induction, sequences, series, metric spaces, graph theory.",3,Spring 2025|Spring 2024|Spring 2023|Fall 2021|Fall 2020,math2320|math2220|cs2020,C or better in MATH 2320 or MATH 2220 or CS 2020 or consent of instructor.
MATH 3320,Juan Bes,"MWF (2:30pm-3:20pm), TuTh (1:00pm-2:15pm), MWF (12:30pm-1:20pm)","Systems of linear equations, vectors, matrices, determinants, linear transformations, vector spaces and applications. Techniques and some proofs.",3,Fall 2025|Spring 2025|Fall 2024|Spring 2024|Fall 2023,math2320|math1310|math2220|cs2020,"(s): C or better in either MATH 2320, or MATH 1310 and MATH 2220, or MATH 1310 and CS 2020"
MATH 3430,Wei Ning,"TuTh (11:30am-12:45pm), MWF (12:30pm-1:20pm), MWF (9:30am-10:20am)","Fall. Computational methods for collecting, manipulating, exploring, and graphing data. Basic principles of exploratory data analysis and statistical graphical methods. Methods for downloading and organizing large data sets. All of the computing methods will be illustrated using a high-level language such as R or Python.",3,Fall 2025|Fall 2024|Fall 2023|Fall 2022|Fall 2021 Fall 2026,cs1010|cs2010|math1310|math1340|math1350,"CS 1010 or CS 2010 and C or better in MATH 1310, or MATH 1340 and MATH 1350"
